epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.6862,1.72069,1.58463,1.09793,0.7128,0.63794,0.58323,0.19324,2.33202,1.41115,1.17705,0.0668615,0.000166525,0.000166525
2,101.686,1.59126,0.94484,1.04392,0.75483,0.64747,0.6882,0.25405,2.17689,1.21515,1.14251,0.0336948,0.000333171,0.000333171
3,149.723,1.53954,0.87498,1.0199,0.73513,0.69348,0.68087,0.24792,2.16447,1.12422,1.11668,0.000528008,0.000499735,0.000499735
4,197.324,1.49987,0.82979,1.00703,0.73664,0.71254,0.71449,0.27773,2.10926,1.08898,1.10796,0.000499722,0.000499722,0.000499722
5,244.938,1.46048,0.78686,0.99584,0.7824,0.7252,0.74679,0.28018,2.14613,1.07855,1.11128,0.000499507,0.000499507,0.000499507
6,293.912,1.44449,0.77186,0.98994,0.79565,0.71111,0.74507,0.28847,2.13526,1.0256,1.11454,0.000499229,0.000499229,0.000499229
7,342.546,1.41708,0.74065,0.98212,0.78449,0.71924,0.76207,0.31142,2.08126,1.00979,1.09658,0.000498891,0.000498891,0.000498891
8,390.674,1.40314,0.72584,0.97712,0.81095,0.74472,0.75414,0.29461,2.08433,0.99761,1.09551,0.00049849,0.00049849,0.00049849
9,438.65,1.38988,0.70834,0.9689,0.80555,0.73649,0.76278,0.30797,2.06971,0.9702,1.09962,0.000498029,0.000498029,0.000498029
10,486.33,1.37611,0.70054,0.9683,0.79216,0.72924,0.75203,0.30688,2.06171,0.96209,1.09043,0.000497506,0.000497506,0.000497506
11,534.248,1.36388,0.68666,0.96302,0.79661,0.74301,0.76855,0.31307,2.05556,0.97091,1.0872,0.000496922,0.000496922,0.000496922
12,582.443,1.34941,0.67416,0.95805,0.81965,0.74905,0.77493,0.30919,2.08211,0.92205,1.09747,0.000496278,0.000496278,0.000496278
13,630.352,1.34638,0.66545,0.96063,0.8006,0.75556,0.7741,0.31706,2.03936,0.93515,1.08685,0.000495572,0.000495572,0.000495572
14,678.114,1.33998,0.65958,0.95594,0.8118,0.74905,0.78603,0.31773,2.03324,0.91986,1.08993,0.000494806,0.000494806,0.000494806
15,726.112,1.32619,0.65969,0.95401,0.83097,0.75141,0.78496,0.31372,2.03225,0.93495,1.08238,0.000493979,0.000493979,0.000493979
16,774.041,1.31519,0.64691,0.95168,0.80522,0.75735,0.77468,0.32467,2.0254,0.9102,1.08058,0.000493093,0.000493093,0.000493093
17,821.793,1.31259,0.64213,0.95062,0.81133,0.76802,0.78956,0.32728,2.0161,0.91447,1.07491,0.000492146,0.000492146,0.000492146
18,869.565,1.30513,0.63038,0.94632,0.82527,0.75881,0.7907,0.32843,2.02529,0.89006,1.08118,0.00049114,0.00049114,0.00049114
19,917.589,1.29019,0.61966,0.93953,0.81923,0.76637,0.79248,0.3305,2.04057,0.88889,1.08615,0.000490074,0.000490074,0.000490074
20,965.45,1.29834,0.62389,0.94504,0.8215,0.75989,0.77943,0.32613,2.0116,0.8792,1.07639,0.000488949,0.000488949,0.000488949
21,1013.64,1.2876,0.61861,0.94016,0.81757,0.76152,0.78785,0.3382,2.00986,0.88053,1.07889,0.000487765,0.000487765,0.000487765
22,1061.45,1.27779,0.61163,0.93772,0.82223,0.77453,0.79363,0.3368,2.02361,0.86692,1.08414,0.000486522,0.000486522,0.000486522
23,1109.31,1.27801,0.60378,0.94133,0.81892,0.77398,0.80166,0.34582,2.00249,0.86857,1.07367,0.000485221,0.000485221,0.000485221
24,1157.24,1.27337,0.59722,0.9396,0.83572,0.76654,0.81166,0.35328,2.00516,0.85247,1.07971,0.000483862,0.000483862,0.000483862
25,1205.26,1.26711,0.59904,0.93627,0.83394,0.773,0.8071,0.35362,1.98967,0.85166,1.07714,0.000482445,0.000482445,0.000482445
26,1253.34,1.25515,0.58944,0.93499,0.83694,0.78645,0.81508,0.35247,1.9908,0.8515,1.0751,0.000480971,0.000480971,0.000480971
27,1301.41,1.25297,0.58652,0.93269,0.82776,0.77101,0.80506,0.34995,1.98764,0.84429,1.07403,0.00047944,0.00047944,0.00047944
28,1349.3,1.24383,0.58031,0.92985,0.83036,0.79404,0.81506,0.34972,1.99337,0.8454,1.07467,0.000477852,0.000477852,0.000477852
