                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6874,                 10.512,                 1.1105,                0.00055,                0.16667,                0.00046,                 0.0001,                 2.5743,                     12,                0.97142,                0.00052,                0.00052,                0.00052
                      2,                 2.7943,                 6.6111,                  1.187,                0.00098,                    0.3,                0.00073,                0.00026,                 2.5099,                 13.148,                0.93618,              0.0010075,              0.0010075,              0.0010075
                      3,                 2.4632,                 4.9657,                 1.1527,                 0.3181,                0.27995,                0.15921,                0.04543,                 2.6844,                 9.3944,                 1.0787,              0.0014416,              0.0014416,              0.0014416
                      4,                 2.5195,                 4.4016,                 1.0906,                0.65287,                0.43893,                0.50418,                0.16652,                 2.4537,                 4.4264,                0.98464,               0.001703,               0.001703,               0.001703
                      5,                 2.2607,                 3.3838,                 1.0777,                0.59101,                0.40952,                0.49125,                0.16279,                 2.5884,                 3.4937,                 1.0548,               0.001703,               0.001703,               0.001703
                      6,                 2.3878,                   2.98,                  1.099,                0.53275,                0.53333,                0.45986,                0.12876,                 2.5561,                 3.1176,                0.97995,               0.001604,               0.001604,               0.001604
                      7,                 2.3466,                 2.7662,                 1.0738,                0.75129,                 0.7049,                0.63684,                0.15669,                 2.5033,                 2.7078,                0.96667,               0.001505,               0.001505,               0.001505
                      8,                 2.3727,                 2.3896,                 1.0505,                0.73391,                 0.6896,                0.59729,                0.15143,                 2.5973,                 2.6127,                 1.0226,               0.001406,               0.001406,               0.001406
                      9,                 2.2553,                 2.1177,                 1.0291,                0.75641,                0.76667,                0.72806,                0.22175,                 2.3217,                 1.7899,                0.91377,               0.001307,               0.001307,               0.001307
                     10,                 2.2641,                 1.9145,                  1.028,                0.78344,                0.78382,                0.73391,                0.21572,                 2.3904,                 1.5528,                0.99981,               0.001208,               0.001208,               0.001208
                     11,                 2.1936,                 2.1203,                 1.0922,                0.76113,                0.74354,                 0.7132,                0.24463,                 2.3048,                 1.3802,                0.92902,               0.001109,               0.001109,               0.001109
                     12,                 2.1209,                 1.8942,                  1.058,                0.82647,                0.71442,                0.74831,                0.21881,                 2.3264,                 1.3905,                0.95948,                0.00101,                0.00101,                0.00101
                     13,                 2.1099,                 1.7394,                 1.0133,                0.69681,                0.68333,                0.66848,                0.22123,                 2.3552,                 1.3556,                0.93459,               0.000911,               0.000911,               0.000911
                     14,                 2.1027,                 1.7582,                 1.0388,                 0.8291,                0.80865,                0.81835,                 0.2745,                 2.1227,                 1.1749,                0.90397,               0.000812,               0.000812,               0.000812
                     15,                 2.1123,                 1.6295,                 1.0865,                0.79875,                0.78333,                0.77459,                0.20124,                 2.3784,                   1.19,                0.98933,               0.000713,               0.000713,               0.000713
                     16,                 2.0761,                 1.4941,                 1.0489,                0.81594,                   0.85,                 0.8326,                0.28281,                 2.2626,                 1.1138,                0.97347,               0.000614,               0.000614,               0.000614
                     17,                 2.0689,                 1.4376,                 1.0425,                0.76705,                0.76835,                0.74127,                0.23276,                 2.4043,                  1.218,                0.99586,               0.000515,               0.000515,               0.000515
                     18,                 2.1517,                 1.4565,                 1.0391,                0.74727,                0.73928,                0.67603,                0.25271,                 2.2105,                  1.115,                0.93478,               0.000416,               0.000416,               0.000416
                     19,                 1.9864,                 1.3356,                 1.0209,                0.84388,                0.81086,                0.79028,                 0.2573,                 2.2659,                 1.1483,                0.94117,               0.000317,               0.000317,               0.000317
                     20,                 1.9396,                 1.2838,                0.99867,                0.75058,                0.78333,                0.76701,                0.25399,                 2.2851,                 1.1841,                0.95054,               0.000218,               0.000218,               0.000218
