                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6874,                 10.512,                 1.1105,                0.00055,                0.16667,                0.00046,                 0.0001,                 2.5743,                     12,                0.97142,                0.00052,                0.00052,                0.00052
                      2,                 2.8645,                 6.6338,                 1.1929,                0.00071,                0.21667,                0.00045,                0.00016,                 2.6269,                 10.345,                 1.0452,              0.0010495,              0.0010495,              0.0010495
                      3,                 2.5803,                 5.0052,                 1.1853,                0.00191,                0.58333,                0.16907,                0.03845,                 2.7797,                 8.3399,                  1.126,              0.0015683,              0.0015683,              0.0015683
                      4,                 2.5209,                 4.3047,                 1.1054,                0.74398,                0.58333,                0.62408,                 0.1829,                 2.5107,                 3.5089,                 1.0133,              0.0019406,              0.0019406,              0.0019406
                      5,                  2.372,                 3.4318,                 1.0902,                0.18615,                0.51667,                0.13384,                0.04621,                 2.4265,                 5.6511,                 1.0112,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.4335,                 2.8851,                 1.1104,                0.64782,                0.68333,                   0.67,                 0.1961,                 2.5216,                 2.6937,                 1.0113,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.4048,                 2.6288,                 1.0856,                0.76814,                0.76667,                0.75658,                0.20963,                 2.3804,                 2.4911,                0.98466,               0.001901,               0.001901,               0.001901
                      8,                 2.3422,                 2.0997,                 1.0458,                0.83551,                0.76199,                 0.7912,                0.24033,                 2.2795,                 1.9899,                0.97922,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.2949,                 1.8396,                 1.0645,                 0.6547,                0.71667,                0.63271,                0.19384,                  2.412,                  1.446,                 0.9759,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.2882,                 1.6402,                 1.0536,                0.72119,                0.71667,                0.69121,                0.23632,                 2.4117,                 1.3455,                0.99506,              0.0018416,              0.0018416,              0.0018416
